m_id,kakao_sms,kakao_sms_agree_date,kakao_mailling,kakao_mailling_agree_date,kakao_app_push,kakao_app_push_date,kakao_dm,kakao_dm_date,kakao_tm,kakao_tm_date,db_sms,db_sms_agree_date,db_mailling,db_mailling_agree_date,db_app_push,db_app_push_agree_date,db_dm,db_dm_agree_date,db_tm,db_tm_agree_date
kakao_777014882,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_794464961,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_804282135,y,2021-12-12T13:11:07Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-12-12T13:11:07Z,y,2021-12-12T13:11:07Z,y,2021-12-12 13:11:07,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,y,2021-12-12 13:11:07,y,2021-12-12 13:11:07
kakao_796505429,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-05-04T11:38:59Z,y,2021-05-04T11:38:59Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,y,2021-05-04 11:38:59,y,2021-05-04 11:38:59
kakao_895718697,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_865031030,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_897310188,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_904912795,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_892750494,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_891959502,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
